course_value,matrix_size,proc_count,schedule_time,working_time,idle_time,elapsed_time,cache-misses,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,LLC-load-misses,LLC-store-misses,LLC-loads,page-faults,cycle_activity.cycles_no_execute,cycle_activity.stalls_l1d_pending,cycle_activity.stalls_l2_pending,cycle_activity.stalls_ldm_pending,offcore_response.all_reads.llc_miss.remote_dram,offcore_response.all_data_rd.llc_miss.local_dram
1,2048,1,0.960001,626.296009,38.369083,19.121538,"7,023,737,562","8,870,634,737","568,307,994,830","416,893,538,800","7,072,253,657","2,123,868","8,645,132,969","6,357","263,494,735,635","192,222,395,954","197,746,578,771","485,403,608,185","193,831,649","6,828,157,337"
1,2048,8,0.96012,625.450608,37.677117,19.084612,"7,021,174,709","8,871,799,541","568,394,288,218","416,964,145,887","7,068,357,581","1,973,376","8,635,987,488","7,246","260,541,786,670","189,141,844,293","194,687,810,018","482,796,735,286","4,622,944","7,014,321,837"
1,2048,16,0.447648,628.30904,39.331061,19.199978,"7,020,848,100","8,869,583,869","568,526,516,212","417,011,185,821","7,066,523,540","1,999,744","8,639,919,782","6,459","260,941,795,502","188,742,969,302","194,239,475,286","482,615,957,197","4,082,737","7,014,720,128"
2,2048,1,0.417423,91.924478,17.517147,3.167499,"7,026,671,502","8,786,430,481","109,045,895,435","57,611,171,538","7,075,933,277","2,612,370","8,638,083,903","4,478","201,049,619,721","190,910,029,445","196,677,397,570","245,704,148,653","159,455,153","6,863,183,897"
2,2048,8,0.426211,91.33123,17.851633,3.160788,"7,021,742,984","8,780,428,793","109,046,170,045","57,607,585,456","7,077,770,737","2,459,355","8,627,432,748","2,933","198,152,616,030","187,980,837,258","193,817,113,040","242,897,834,014","3,135,147","7,014,867,571"
2,2048,16,0.407519,91.707879,17.524785,3.161511,"7,023,213,059","8,780,363,366","109,079,659,313","57,631,131,485","7,077,699,726","2,453,025","8,641,507,364","3,737","198,776,152,954","188,510,732,219","194,295,427,520","243,324,990,097","3,409,195","7,016,618,558"
4,2048,1,0.610743,19.901993,8.049721,0.830521,"7,037,201,828","8,776,482,292","46,049,163,668","8,970,468,114","7,070,520,745","2,471,868","8,622,578,031","2,922","191,794,943,595","189,170,052,558","195,049,602,721","210,611,121,454","33,691,757","7,003,150,482"
4,2048,8,0.792122,19.666012,7.45654,0.811664,"7,017,222,574","8,765,041,106","45,966,377,615","8,943,152,276","7,061,974,693","1,379,866","8,625,680,087","2,552","190,790,225,807","188,716,920,398","194,469,655,491","209,597,859,903","2,515,441","7,013,496,706"
4,2048,16,1.24792,19.697761,7.808646,0.833179,"7,014,471,441","8,760,982,079","46,041,885,594","8,993,968,187","7,061,682,788","1,400,125","8,634,138,644","1,264","190,700,360,046","188,282,511,766","194,038,347,455","209,434,502,323","2,712,513","7,009,609,378"
8,2048,1,0.585477,10.741526,5.552847,0.493583,"7,026,152,037","8,758,782,541","36,893,118,275","2,076,790,383","7,069,629,771","1,486,950","8,624,974,878","2,194","191,051,448,936","189,011,496,590","194,882,974,547","205,759,667,473","45,504,159","6,981,452,806"
