course_value,matrix_size,proc_count,elapsed_time
1,2048,1,237.403992
1,2048,2,122.57132
1,2048,4,66.60154
1,2048,8,36.10886
1,2048,16,19.15353
2,2048,1,37.93829
2,2048,2,19.657532
2,2048,4,10.755063
2,2048,8,5.821857
2,2048,16,3.106271
4,2048,1,10.492716
4,2048,2,5.377404
4,2048,4,2.960383
4,2048,8,1.607788
4,2048,16,0.867046
8,2048,1,5.417079
8,2048,2,2.829369
8,2048,4,1.549705
8,2048,8,0.830954
8,2048,16,0.452015
16,2048,1,4.828438
16,2048,2,2.497853
16,2048,4,1.365752
16,2048,8,0.740002
16,2048,16,0.398608
32,2048,1,6.598637
32,2048,2,3.39113
32,2048,4,1.866129
32,2048,8,1.012415
32,2048,16,0.552209
128,2048,1,7.026958
128,2048,2,3.625678
128,2048,4,1.989805
128,2048,8,1.088145
128,2048,16,0.595957
