course_value,matrix_size,schedule_time,working_time,idle_time,elapsed_time,cache-misses,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,LLC-load-misses,LLC-store-misses,LLC-loads,page-faults,cycle_activity.cycles_no_execute,cycle_activity.stalls_l1d_pending,cycle_activity.stalls_l2_pending,cycle_activity.stalls_ldm_pending,offcore_response.all_reads.llc_miss.remote_dram,offcore_response.all_data_rd.llc_miss.local_dram
1,512,0.560236,6.512045,4.091612,0.33164,"346,012","139,465,192","8,914,684,493","6,532,370,470","252,435","85,380","137,167,308","1,426","2,117,238,277","435,258,071","519,337,149","5,420,504,230","64,062","20,289"
1,1024,1.089455,68.532395,14.704983,2.427636,"1,438,907","1,107,705,704","71,144,807,619","52,171,691,705","1,291,165","402,749","1,079,552,369","3,084","12,764,109,207","3,289,911,167","3,913,270,999","40,319,940,542","374,138","621,030"
1,2048,0.802791,628.207444,38.642933,19.189066,"7,022,352,546","8,869,195,454","568,410,222,499","416,955,015,296","7,067,314,660","2,034,403","8,641,829,317","3,962","260,549,584,544","189,215,547,948","194,745,473,396","482,623,184,464","4,263,376","7,016,883,745"
2,512,0.849426,0.886383,1.574381,0.108872,"329,823","135,889,013","1,856,028,569","969,181,791","265,180","118,233","138,735,627","1,910","1,688,976,471","432,903,720","517,450,968","2,028,793,482","51,626","17,031"
2,1024,1.18494,9.214802,6.248151,0.494109,"1,336,341","1,098,266,272","13,872,221,614","7,335,221,173","1,060,870","185,192","1,072,921,184","2,292","6,503,292,461","3,167,265,724","3,827,555,195","11,394,092,178","237,379","931,105"
2,2048,1.495025,91.71413,17.394432,3.183823,"7,022,876,491","8,784,324,573","109,166,787,637","57,674,354,778","7,079,572,709","1,502,795","8,624,716,185","2,956","199,166,763,480","188,349,413,419","194,165,828,336","243,750,095,922","3,488,921","7,017,301,062"
4,512,0.632783,0.356568,1.32078,0.077172,"383,074","137,607,435","936,136,164","267,265,114","245,473","45,648","135,064,637","1,399","1,984,091,735","413,159,905","502,178,623","1,830,308,844","50,397","16,463"
4,1024,1.07638,1.791489,2.061412,0.15427,"958,175","1,083,815,876","5,793,306,436","1,189,716,912","694,846","247,790","1,098,496,302","2,271","4,208,162,509","3,155,944,544","3,804,127,420","6,243,293,459","201,919","596,073"
4,2048,0.415367,20.818767,7.440538,0.836831,"7,025,410,553","8,765,520,149","46,045,082,623","8,975,130,385","7,067,270,594","1,370,295","8,623,840,572","2,925","190,832,273,076","188,354,001,973","194,221,723,616","209,889,570,352","8,886,656","7,014,901,256"
8,512,0.395376,0.347477,1.768844,0.085586,"218,926","133,242,175","831,496,946","182,106,931","155,327","103,050","145,087,409","1,388","2,170,320,663","429,487,594","507,342,704","1,827,670,556","40,325","10,989"
8,1024,0.965789,1.084942,1.394433,0.105177,"1,028,508","1,072,273,529","4,764,528,874","358,376,635","981,502","110,795","1,103,332,899","2,261","4,347,152,975","3,135,318,308","3,770,692,512","5,721,489,759","237,105","870,688"
8,2048,0.4682,10.230956,6.002812,0.492816,"7,022,563,687","8,750,924,894","36,898,421,651","2,069,292,636","7,075,399,425","2,207,953","8,633,128,079","2,553","190,425,605,897","188,507,452,720","194,307,823,485","205,014,528,410","2,445,481","7,017,042,829"
16,512,1.177642,0.175186,0.699135,0.067289,"176,438","133,300,896","720,567,906","122,932,017","187,959","107,902","144,883,958","1,386","1,591,730,306","414,769,449","492,333,640","1,418,785,671","22,820","15,691"
16,1024,0.631982,0.961633,1.51156,0.096375,"748,863","1,076,036,203","4,522,529,344","178,372,512","1,037,889","369,651","1,093,342,986","2,266","4,237,927,456","3,133,418,540","3,769,266,058","5,561,862,427","193,208","584,891"
16,2048,0.650218,9.502223,5.592257,0.460794,"7,029,756,675","8,751,900,575","35,295,295,893","791,943,725","7,070,831,746","2,206,544","8,615,391,151","2,533","189,301,282,648","186,949,404,391","193,013,462,294","203,762,313,915","2,329,568","7,024,559,646"
32,512,0.967722,0.274637,1.282023,0.082459,"197,317","136,697,772","765,721,090","141,226,432","115,163","99,563","134,854,777","1,891","1,875,209,459","409,470,220","487,769,143","1,699,365,635","31,019","14,461"
32,1024,0.370908,1.25586,2.063769,0.117195,"1,085,799","1,076,175,991","4,463,016,332","152,809,150","791,930","91,322","1,092,803,810","1,498","4,631,056,681","3,116,640,932","3,752,234,155","6,042,818,823","180,049","1,039,045"
32,2048,0.742861,12.459149,5.945413,0.55594,"7,020,653,719","8,737,729,510","34,851,133,594","447,849,752","7,072,266,499","2,421,035","8,632,865,642","2,778","191,889,828,189","188,098,954,052","193,834,054,495","206,943,881,229","2,557,403","7,013,953,574"
128,512,0.154905,0.180835,2.121434,0.082462,"202,235","149,033,212","706,229,611","120,926,935","93,452","22,867","140,414,414","1,768","1,821,987,027","388,354,839","458,511,025","1,585,543,225","13,620","13,657"
128,1024,0.32524,1.312886,1.917917,0.110038,"952,505","1,206,764,143","4,479,150,627","101,778,038","549,478","84,963","1,076,216,363","2,194","4,824,345,475","3,149,576,873","3,775,857,384","6,150,130,168","192,025","1,001,470"
128,2048,0.603639,14.040646,6.064958,0.602541,"7,016,299,264","9,719,567,952","34,689,075,648","246,274,587","7,059,732,944","890,074","8,636,029,872","1,786","193,923,642,963","188,347,403,244","194,137,514,771","208,703,828,610","2,467,224","7,014,120,092"
