course_value,proc_count,matrix_size,schedule_time,working_time,idle_time,elapsed_time
1,1,512,2.967506,90.408775,99.460433,5.573768
1,1,1024,3.379424,897.266797,241.357167,32.833813
1,1,2048,3.807301,7965.572034,553.170629,244.775879
1,2,512,0.729045,44.498417,35.184766,2.31764
1,2,1024,1.257256,453.056323,106.095589,16.110083
1,2,2048,1.228254,4057.004636,270.720952,124.327812
1,4,512,0.926616,24.309608,17.981901,1.248598
1,4,1024,0.773536,250.809024,51.526422,8.717202
1,4,2048,0.883124,2236.310072,131.766255,68.039383
1,8,512,1.05509,11.968804,9.053304,0.639623
1,8,1024,0.70648,131.838347,29.751243,4.669709
1,8,2048,0.952526,1200.760086,76.398038,36.710323
1,16,512,0.366808,6.578197,3.925605,0.316605
1,16,1024,0.507192,67.800537,14.272626,2.374932
1,16,2048,0.784068,620.71789,37.429405,18.928991
2,1,512,2.791083,15.464562,53.394299,2.076639
2,1,1024,2.883608,134.434984,105.057485,7.007729
2,1,2048,3.360827,1289.286853,270.881729,44.959801
2,2,512,1.007112,5.759283,16.464678,0.675323
2,2,1024,0.736748,64.720696,39.992047,3.052501
2,2,2048,0.613578,648.265096,116.704765,22.000246
2,4,512,0.594824,2.432474,8.708523,0.344987
2,4,1024,0.628258,33.612969,21.098602,1.596236
2,4,2048,0.718196,345.478074,70.078112,11.966273
2,8,512,0.760708,1.470181,4.053966,0.189255
2,8,1024,1.128918,17.047214,10.940663,0.839549
2,8,2048,0.732661,187.141272,36.64109,6.45928
2,16,512,0.835156,1.065908,1.059106,0.092877
2,16,1024,1.018225,9.532385,5.089053,0.452859
2,16,2048,0.457722,97.055354,17.895065,3.320704
4,1,512,2.428641,3.74983,36.020367,1.233528
4,1,1024,2.805613,28.259823,46.48672,2.243667
4,1,2048,3.179162,298.669834,122.599546,12.25369
4,2,512,0.770276,1.141642,8.538791,0.305779
4,2,1024,1.563253,12.284638,19.281739,0.958706
4,2,2048,1.009999,148.697505,58.870737,5.999039
4,4,512,0.435117,0.524471,4.708656,0.170692
4,4,1024,0.523611,6.437691,9.502222,0.478915
4,4,2048,0.605623,78.045738,32.620541,3.20401
4,8,512,0.59701,0.28505,2.868716,0.114775
4,8,1024,0.532019,3.084614,6.080995,0.285856
4,8,2048,1.029205,41.729871,16.580839,1.709468
4,16,512,1.488218,0.336149,0.809227,0.082347
4,16,1024,0.611303,2.122594,2.562627,0.158941
4,16,2048,0.529652,23.060553,8.462912,0.930575
8,1,512,2.237426,2.132951,34.09961,1.121709
8,1,1024,2.894103,15.841772,49.817174,1.987416
8,1,2048,3.203937,152.372167,103.586766,7.492926
8,2,512,0.754689,0.507098,6.969624,0.241167
8,2,1024,0.779094,5.774611,13.711446,0.590621
8,2,2048,0.674821,74.515014,47.384835,3.572876
8,4,512,0.40072,0.312119,4.97157,0.17048
8,4,1024,0.675474,3.069716,9.264375,0.383698
8,4,2048,0.574533,39.005225,23.129874,1.807227
8,8,512,0.87025,0.127951,1.799046,0.089699
8,8,1024,0.700814,1.544099,3.42685,0.168536
8,8,2048,0.924717,20.682573,11.569024,0.958093
8,16,512,0.258586,0.168491,0.229336,0.022249
8,16,1024,0.728818,1.197167,2.392126,0.133796
8,16,2048,0.231931,11.51605,5.879771,0.514582
16,1,512,2.220615,2.082891,29.124358,0.974884
16,1,1024,2.921985,15.646893,48.29509,1.938654
16,1,2048,3.121351,155.530055,107.371465,7.712799
16,2,512,0.889166,0.54298,7.51545,0.263556
16,2,1024,0.545235,6.056851,13.761366,0.601469
16,2,2048,0.393298,75.456206,45.282181,3.50469
16,4,512,0.431058,0.278791,3.920663,0.139496
16,4,1024,0.53793,2.586138,6.977895,0.295878
16,4,2048,0.751596,40.56768,22.428377,1.83782
16,8,512,0.923921,0.14298,1.787866,0.088217
